channels, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute
64,1.69e-05,582.9252,1148.186,0,    17580032.0,522002.91000000003,582.9252,0.27176,574.093,    17305600.0,980093.53,1148.186
68,1.9044e-05,656.3004,1293.84936,0,    19791872.0,587709.5700000001,656.3004,0.27176,646.92468,    19501056.0,1103943.2820000001,1293.84936
72,2.1316e-05,734.02376,1448.20904,0,    22134784.0,657309.958,734.02376,0.27176,724.10452,    21827584.0,1235159.5620000002,1448.20904
76,2.3716e-05,816.09528,1611.26504,0,    24608768.0,730804.074,816.09528,0.27176,805.63252,    24285184.0,1373742.37,1611.26504
80,2.6244e-05,902.51496,1783.01736,0,    27213824.0,808191.9180000001,902.51496,0.27176,891.50868,    26873856.0,1519691.706,1783.01736
84,2.89e-05,993.2828,1963.4660000000001,0,    29949952.0,889473.49,993.2828,0.27176,981.7330000000001,    29593600.0,1673007.57,1963.4660000000001
88,3.1684e-05,1088.3988,2152.61096,0,    32817152.0,974648.79,1088.3988,0.27176,1076.30548,    32444416.0,1833689.962,2152.61096
92,3.4596e-05,1187.86296,2350.45224,0,    35815424.0,1063717.818,1187.86296,0.27176,1175.22612,    35426304.0,2001738.882,2350.45224
96,3.7636e-05,1291.67528,2556.98984,0,    38944768.0,1156680.574,1291.67528,0.27176,1278.49492,    38539264.0,2177154.33,2556.98984
100,4.0804e-05,1399.83576,2772.22376,0,    42205184.0,1253537.058,1399.83576,0.27176,1386.11188,    41783296.0,2359936.306,2772.22376
104,4.41e-05,1512.3444,2996.154,0,    45596672.0,1354287.27,1512.3444,0.27176,1498.077,    45158400.0,2550084.81,2996.154
108,4.7524e-05,1629.2012,3228.78056,0,    49119232.0,1458931.21,1629.2012,0.27176,1614.39028,    48664576.0,2747599.842,3228.78056
112,5.1076e-05,1750.40616,3470.10344,0,    52772864.0,1567468.878,1750.40616,0.27176,1735.05172,    52301824.0,2952481.4020000002,3470.10344
116,5.4756e-05,1875.95928,3720.12264,0,    56557568.0,1679900.274,1875.95928,0.27176,1860.06132,    56070144.0,3164729.49,3720.12264
120,5.8564e-05,2005.86056,3978.8381600000002,0,    60473344.0,1796225.398,2005.86056,0.27176,1989.4190800000001,    59969536.0,3384344.106,3978.8381600000002
124,6.25e-05,2140.11,4246.25,0,    64520192.0,1916444.25,2140.11,0.27176,2123.125,    64000000.0,3611325.25,4246.25
