nnEngine_Size, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute,,
1,17626.54578,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,2388579951,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58281E+14
2,8830.452761,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,2460961161,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58281E+14
3,3882.650436,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,2678104793,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58281E+14
4,2233.382994,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,2895248425,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58282E+14
5,1408.749273,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,3257154478,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58282E+14
6,996.4324127,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,3691441742,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58282E+14
7,721.5545057,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,4198110216,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58283E+14
8,584.1155523,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,4632397480,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58283E+14
9,446.6765988,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,5428590797,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58284E+14
10,309.2376453,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,6948596220,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58286E+14
11,309.2376453,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,6948596220,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.58286E+14
