nnEngine_Size, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute,,Energy
1,35184.37209,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,1.29633E+11,2388579951,36475009.76,7.6496E+13,7.09185E+13,1.53524E+11,7.64936E+13,,5.20699E+14
2,8796.093022,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,6.16521E+11,2605723582,36475009.76,7.6496E+13,7.09185E+13,6.14095E+11,7.64936E+13,,5.21647E+14
3,3848.290697,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,1.5903E+12,3040010846,36475009.76,7.64961E+13,7.09185E+13,1.53524E+12,7.64936E+13,,5.23542E+14
4,2199.023256,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,2.56407E+12,3474298110,36475009.76,7.64962E+13,7.09185E+13,2.45638E+12,7.64936E+13,,5.25438E+14
5,1374.389535,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,4.18703E+12,4198110216,36475009.76,7.64964E+13,7.09185E+13,3.99161E+12,7.64936E+13,,5.28597E+14
6,824.6337208,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,6.94607E+12,5428590797,36475009.76,7.64967E+13,7.09185E+13,6.60152E+12,7.64936E+13,,5.33967E+14
7,549.7558139,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,1.03543E+13,6948596220,36475009.76,7.64971E+13,7.09185E+13,9.82551E+12,7.64936E+13,,5.40601E+14
8,549.7558139,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,1.03543E+13,6948596220,36475009.76,7.64971E+13,7.09185E+13,9.82551E+12,7.64936E+13,,5.40601E+14
9,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.09185E+13,1.9651E+13,7.64936E+13,,5.6082E+14
10,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.09185E+13,1.9651E+13,7.64936E+13,,5.6082E+14
11,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.4292E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.09185E+13,1.9651E+13,7.64936E+13,,5.6082E+14
