PE_SIZE, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute
1,21990.23256,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,1.29633E+11,2388579951,36475009.76,7.6496E+13,7.03687E+13,30897457857,7.64936E+13
2,10995.11628,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,1.62296E+11,2460961161,36475009.76,7.6496E+13,7.03687E+13,61794915713,7.64936E+13
3,4810.363372,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,2.60285E+11,2678104793,36475009.76,7.6496E+13,7.03687E+13,1.54487E+11,7.64936E+13
4,2748.779069,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,3.58274E+11,2895248425,36475009.76,7.64961E+13,7.03687E+13,2.4718E+11,7.64936E+13
5,1717.986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,5.21589E+11,3257154478,36475009.76,7.64962E+13,7.03687E+13,4.01667E+11,7.64936E+13
6,1202.590843,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,7.17566E+11,3691441742,36475009.76,7.64963E+13,7.03687E+13,5.87052E+11,7.64936E+13
7,858.9934592,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,9.46207E+11,4198110216,36475009.76,7.64964E+13,7.03687E+13,8.03334E+11,7.64936E+13
8,687.1947674,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,1.14218E+12,4632397480,36475009.76,7.64965E+13,7.03687E+13,9.88719E+11,7.64936E+13
9,515.3960755,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,1.50148E+12,5428590797,36475009.76,7.64967E+13,7.03687E+13,1.32859E+12,7.64936E+13
10,343.5973837,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,2.1874E+12,6948596220,36475009.76,7.64971E+13,7.03687E+13,1.97744E+12,7.64936E+13
11,343.5973837,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,2.1874E+12,6948596220,36475009.76,7.64971E+13,7.03687E+13,1.97744E+12,7.64936E+13
12,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13
13,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13
14,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13
15,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13
16,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13
