PE_SIZE, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute,,
1,35184.37209,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,1.29633E+11,2388579951,36475009.76,7.6496E+13,7.03687E+13,30897457857,7.64936E+13,,5.17845E+14
2,17592.18604,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.91929E+11,2460961161,36475009.76,7.6496E+13,7.03687E+13,61794915713,7.64936E+13,,5.18038E+14
3,7696.581394,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,7.78817E+11,2678104793,36475009.76,7.6496E+13,7.03687E+13,1.54487E+11,7.64936E+13,,5.18618E+14
4,4398.046511,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,1.26571E+12,2895248425,36475009.76,7.64961E+13,7.03687E+13,2.4718E+11,7.64936E+13,,5.19198E+14
5,2748.779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07719E+12,3257154478,36475009.76,7.64962E+13,7.03687E+13,4.01667E+11,7.64936E+13,,5.20164E+14
6,1924.145349,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,3.05096E+12,3691441742,36475009.76,7.64963E+13,7.03687E+13,5.87052E+11,7.64936E+13,,5.21324E+14
7,1374.389535,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,4.18703E+12,4198110216,36475009.76,7.64964E+13,7.03687E+13,8.03334E+11,7.64936E+13,,5.22677E+14
8,1099.511628,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,5.16081E+12,4632397480,36475009.76,7.64965E+13,7.03687E+13,9.88719E+11,7.64936E+13,,5.23837E+14
9,824.6337208,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,6.94607E+12,5428590797,36475009.76,7.64967E+13,7.03687E+13,1.32859E+12,7.64936E+13,,5.25963E+14
10,549.7558139,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,1.03543E+13,6948596220,36475009.76,7.64971E+13,7.03687E+13,1.97744E+12,7.64936E+13,,5.30022E+14
11,549.7558139,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,1.03543E+13,6948596220,36475009.76,7.64971E+13,7.03687E+13,1.97744E+12,7.64936E+13,,5.30022E+14
12,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,5.42392E+14
13,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,5.42392E+14
14,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,5.42392E+14
15,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,5.42392E+14
16,274.8779069,7.64936E+13,5.97607E+11,7.64936E+13,1.40739E+14,2.07412E+13,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,5.42392E+14
