PE_SIZE, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, output_compute
1,134217.728,291800078.1,2279688.11,291791173.1,47211085824,771518840.8,14215769.95,569922.0275,292365547.6,17179869184,291800078.1
2,67108.864,291800078.1,2279688.11,291791173.1,47211085824,779493195.8,14646550.86,569922.0275,292370000.1,17179869184,291800078.1
3,29360.128,291800078.1,2279688.11,291791173.1,47211085824,803416260.6,15938893.58,569922.0275,292383357.7,17179869184,291800078.1
4,16777.216,291800078.1,2279688.11,291791173.1,47211085824,827339325.4,17231236.3,569922.0275,292396715.2,17179869184,291800078.1
5,10485.76,291800078.1,2279688.11,291791173.1,47211085824,867211100.2,19385140.84,569922.0275,292418977.8,17179869184,291800078.1
6,7340.032,291800078.1,2279688.11,291791173.1,47211085824,915057229.8,21969826.28,569922.0275,292445692.9,17179869184,291800078.1
7,5242.88,291800078.1,2279688.11,291791173.1,47211085824,970877714.4,24985292.64,569922.0275,292476860.5,17179869184,291800078.1
8,4194.304,291800078.1,2279688.11,291791173.1,47211085824,1018723844,27569978.08,569922.0275,292503575.6,17179869184,291800078.1
9,3145.728,291800078.1,2279688.11,291791173.1,47211085824,1106441748,32308568.06,569922.0275,292552553.3,17179869184,291800078.1
10,2097.152,291800078.1,2279688.11,291791173.1,47211085824,1273903202,41354967.12,569922.0275,292646056.1,17179869184,291800078.1
11,2097.152,291800078.1,2279688.11,291791173.1,47211085824,1273903202,41354967.12,569922.0275,292646056.1,17179869184,291800078.1
12,1048.576,291800078.1,2279688.11,291791173.1,47211085824,1784261919,68924945.2,569922.0275,292931017.1,17179869184,291800078.1
13,1048.576,291800078.1,2279688.11,291791173.1,47211085824,1784261919,68924945.2,569922.0275,292931017.1,17179869184,291800078.1
14,1048.576,291800078.1,2279688.11,291791173.1,47211085824,1784261919,68924945.2,569922.0275,292931017.1,17179869184,291800078.1
15,1048.576,291800078.1,2279688.11,291791173.1,47211085824,1784261919,68924945.2,569922.0275,292931017.1,17179869184,291800078.1
16,1048.576,291800078.1,2279688.11,291791173.1,47211085824,1784261919,68924945.2,569922.0275,292931017.1,17179869184,291800078.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PE Size,Latency (Sequential),Latency (Pipeline),,,,,,,,,
1,134217.728,83886.08,,,,,,,,,
2,67108.864,41943.04,,,,,,,,,
3,29360.128,18350.08,,,,,,,,,
4,16777.216,10485.76,,,,,,,,,
5,10485.76,6553.6,,,,,,,,,
6,7340.032,4587.52,,,,,,,,,
7,5242.88,3276.8,,,,,,,,,
8,4194.304,2621.44,,,,,,,,,
9,3145.728,1966.08,,,,,,,,,
10,2097.152,1310.72,,,,,,,,,
11,2097.152,1310.72,,,,,,,,,
12,1048.576,655.36,,,,,,,,,
13,1048.576,655.36,,,,,,,,,
14,1048.576,655.36,,,,,,,,,
15,1048.576,655.36,,,,,,,,,
16,1048.576,655.36,,,,,,,,,
